Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
SUI,2024-12-07,17:00,Grasshoppers,Yverdon,1.0,1.0,D,,,,1.58,4.11,5.22,1.63,4.4,5.64,1400.5,1470.0,-69.5,2870.6,0.0242,0,2,2,1,1,0.2222,0.1333,0.1111,0.0667,1,1,2,1,1,7,7,0,0,2,2,0,0,0,1,2,19,3,3,1,5,0.5,7,0.8,1.2,1.6,0.7,0.8,1.6,0.1,1.0678,0.0805,0.0316,0.0805,-0.092,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
SUI,2024-12-07,19:30,Luzern,Lugano,1.0,4.0,A,,,,2.51,3.41,2.64,2.62,3.6,2.75,1538.1,1625.1,-87.1,3163.2,0.0275,0,4,10,3,6,0.4444,0.6667,0.3333,0.4,1,4,-2,0,-2,7,6,1,0,2,2,0,0,1,1,2,19,4,3,3,1,0.4,10,1.6,1.4,0.9,1.5,1.1,1.3,0.1,1.0704,0.0557,0.0438,0.0417,0.1033,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SUI,2024-12-07,17:00,Sion,Young Boys,3.0,1.0,H,,,,3.22,3.3,2.2,3.45,3.42,2.33,1434.9,1649.0,-214.1,3083.9,0.0694,1,6,7,7,8,0.6667,0.4667,0.7778,0.5333,-1,-1,5,6,-1,6,6,0,0,2,2,0,0,0,1,2,19,1,8,1,-17,0.0,10,1.7,1.7,0.9,0.8,1.3,1.9,0.9,1.0681,0.0714,0.0714,0.0591,0.013,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SUI,2024-12-08,13:15,Lausanne,Zurich,3.0,0.0,H,,,,1.94,3.46,3.77,2.05,3.61,4.0,1510.0,1612.9,-102.9,3122.9,0.0329,0,4,7,4,8,0.4444,0.4667,0.4444,0.5333,0,-1,1,0,1,8,3,5,2,1,3,0,1,0,1,2,19,1,5,4,-9,0.2,10,2.0,1.7,0.9,1.7,1.8,1.6,0.3,1.0697,0.061,0.0567,0.061,-0.029,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SUI,2024-12-08,15:30,Servette,Winterthur,1.0,1.0,D,,,,1.3,5.5,8.41,1.34,6.0,9.77,1581.9,1405.7,176.2,2987.7,0.059,0,4,5,1,7,0.4444,0.3333,0.1111,0.4667,3,-2,3,-5,8,3,3,0,0,3,2,0,0,0,1,2,19,6,1,3,5,0.5,10,2.0,1.9,1.9,0.2,0.6,2.6,1.8,1.07,0.1617,0.0308,0.1617,0.0859,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
SUI,2024-12-08,15:30,St. Gallen,Basel,1.0,1.0,D,,,,2.83,3.53,2.31,2.96,3.65,2.4,1556.8,1646.5,-89.7,3203.3,0.028,0,2,8,7,13,0.2222,0.5333,0.7778,0.8667,-5,-5,-4,1,-5,3,8,-5,-2,3,2,0,0,0,1,2,19,2,4,4,1,0.5,10,1.4,1.5,1.2,1.7,2.9,1.2,-0.3,1.0695,0.0459,0.0459,0.039,0.1414,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
SUI,2024-12-14,19:30,Basel,Grasshoppers,0.0,1.0,A,,,,1.61,3.93,5.25,1.64,4.1,5.84,1646.0,1400.5,245.5,3046.5,0.0806,1,5,11,3,3,0.5556,0.7333,0.3333,0.2,2,8,-1,3,-4,6,7,-1,0,2,2,0,0,1,1,2,20,4,6,0,1,0.3333333333333333,10,2.2,1.7,0.7,0.5,0.4,1.4,1.7,1.066,0.1124,0.0186,0.1124,0.2775,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SUI,2024-12-14,17:00,Winterthur,Luzern,3.0,4.0,A,,,,3.42,3.72,1.98,3.6,3.91,2.15,1411.9,1521.5,-109.6,2933.4,0.0374,0,1,5,4,7,0.1111,0.3333,0.4444,0.4667,-3,-2,-3,1,-4,6,7,-1,0,3,2,0,0,0,1,2,20,2,6,2,-13,0.3333333333333333,10,1.3,1.0,1.8,1.4,1.8,1.9,-0.1,1.0663,0.0859,0.0526,0.0859,0.169,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SUI,2024-12-14,17:00,Yverdon,Sion,0.0,1.0,A,,,,4.12,3.49,1.86,4.44,3.63,1.91,1470.1,1454.6,15.5,2924.7,0.0053,0,2,2,6,10,0.2222,0.1333,0.6667,0.6667,-4,-8,2,2,0,7,7,0,0,2,2,0,0,0,1,2,20,0,0,2,0,0.5,2,1.7,1.5,1.6,0.7,0.7,1.7,1.0,1.0669,0.0777,0.0777,0.0269,0.3931,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SUI,2024-12-15,15:30,Lugano,Lausanne,1.0,4.0,A,,,,2.21,3.42,3.07,2.31,3.6,3.26,1641.6,1528.9,112.7,3170.5,0.0356,0,6,6,7,7,0.6667,0.4,0.7778,0.4667,-1,-1,6,7,-1,8,7,1,0,2,1,0,0,0,1,2,20,7,3,0,4,1.0,10,2.0,2.3,1.4,0.7,0.9,1.4,1.3,1.0706,0.0619,0.0452,0.0619,0.3185,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SUI,2024-12-15,13:15,Young Boys,Servette,2.0,1.0,H,,,,2.19,3.5,3.02,2.26,3.7,3.11,1629.3,1575.8,53.5,3205.0,0.0167,0,4,7,5,6,0.4444,0.4667,0.5556,0.4,-1,1,1,4,-3,8,7,1,0,2,3,0,1,0,1,2,20,4,4,2,3,0.25,10,1.7,1.9,1.3,1.2,1.3,1.5,0.5,1.0735,0.0571,0.032,0.0298,0.2453,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0
SUI,2024-12-15,15:30,Zurich,St. Gallen,0.0,2.0,A,,,,2.19,3.41,3.13,2.26,3.5,3.31,1594.0,1557.3,36.7,3151.3,0.0116,0,4,5,2,6,0.4444,0.3333,0.2222,0.4,2,-1,3,-2,5,7,7,0,0,2,3,0,0,0,1,2,20,3,4,3,-5,0.4,10,1.9,1.4,0.8,1.1,1.4,1.6,0.8,1.0694,0.0575,0.032,0.0575,0.2219,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1
SUI,2025-01-18,17:00,Young Boys,Winterthur,0.0,0.0,D,,,,1.27,5.83,9.04,1.31,6.2,10.0,1635.9,1403.0,232.9,3038.9,0.0766,1,6,10,1,2,0.6667,0.6667,0.1111,0.1333,5,8,2,0,2,30,30,0,0,0,0,0,0,0,1,2,25,8,0,2,20,1.0,10,2.0,2.0,1.2,0.3,0.7,2.4,1.7,1.0695,0.1062,0.0315,0.1062,0.115,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0
