Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
E0,2025-08-15,20:00:00,Liverpool,Bournemouth,4.0,2.0,H,1.0,0.0,H,1.31,5.96,8.31,1.34,6.5,9.5,1836.1,1622.5,213.6,3458.6,0.0617,1,2,5,3,7,0.2222,0.3333,0.3333,0.4667,-1,-2,-1,-1,0,30,30,0,0,0,0,0,0,0,0,1,3,9,1,0,30,1.0,10,2.4,2.4,1.0,1.4,1.9,1.6,1.0,1.0515,0.1432,0.0229,0.1432,0.1105,18.4,11.2,13.4,10.5,7.2,2.9,2.1,-1.6,1,0,0
E0,2025-08-16,12:30:00,Aston Villa,Newcastle,0.0,0.0,D,0.0,0.0,D,2.3,3.56,2.94,2.38,3.75,3.1,1688.9,1695.1,-6.2,3384.0,0.0018,0,6,9,3,7,0.6667,0.6,0.3333,0.4667,3,2,3,-1,4,30,30,0,0,0,0,0,0,0,0,1,3,4,5,1,-4,0.8,10,2.2,1.9,1.0,1.6,1.3,1.4,0.6,1.0558,0.0544,0.0348,0.0544,0.179,13.2,12.3,15.8,10.7,0.9,5.1,-1.2,0.6,0,1,0
E0,2025-08-16,15:00:00,Brighton,Fulham,1.0,1.0,D,0.0,0.0,D,1.92,3.62,3.91,1.95,3.75,4.0,1645.5,1592.3,53.1,3237.8,0.0164,0,9,13,3,6,1.0,0.8667,0.3333,0.4,6,7,5,0,5,30,30,0,0,0,0,0,0,0,0,1,3,1,5,4,-8,0.2,10,1.8,1.7,1.4,1.5,1.5,1.4,0.3,1.0528,0.0359,0.0156,0.023,0.1754,14.6,11.5,13.6,12.7,3.1,0.9,-0.3,0.3,0,1,0
E0,2025-08-16,15:00:00,Sunderland,West Ham,3.0,0.0,H,0.0,0.0,D,3.17,3.38,2.26,3.25,3.5,2.3,1409.2,1543.1,-133.9,2952.4,0.0454,0,0,3,6,7,0.0,0.2,0.6667,0.4667,-6,-4,-3,5,-8,30,30,0,0,0,0,0,0,0,0,1,3,1,4,5,-1,0.2,10,0.4,0.5,1.9,1.1,1.3,1.5,-0.7,1.0538,0.0355,0.0252,0.0177,0.1096,11.4,17.1,11.0,13.0,-5.7,-2.0,2.3,0.1,1,0,0
E0,2025-08-16,15:00:00,Tottenham,Burnley,3.0,0.0,H,1.0,0.0,H,1.37,4.8,8.3,1.4,5.0,9.5,1544.1,1428.5,115.6,2972.6,0.0389,0,0,1,0,4,0.0,0.0667,0.0,0.2667,0,-3,-1,-4,3,30,30,0,0,0,0,0,0,0,0,1,3,7,2,1,14,1.0,10,0.8,1.2,1.8,0.6,1.4,2.1,0.2,1.0587,0.1446,0.0219,0.1446,0.0549,9.6,15.3,14.1,18.3,-5.7,-4.2,-0.5,-0.3,1,0,0
E0,2025-08-16,17:30:00,Wolves,Man City,0.0,4.0,A,0.0,2.0,A,6.73,4.73,1.44,7.5,5.0,1.48,1538.5,1830.1,-291.7,3368.6,0.0866,1,1,4,7,13,0.1111,0.2667,0.7778,0.8667,-6,-9,-2,1,-3,30,30,0,0,0,0,0,0,0,0,1,3,1,9,0,-21,0.2,10,1.4,1.3,1.2,1.8,1.6,0.8,-0.4,1.0544,0.1144,0.1144,0.0278,0.0773,11.9,10.0,15.2,8.2,1.9,7.0,-0.9,0.3,0,0,1
E0,2025-08-17,14:00:00,Chelsea,Crystal Palace,0.0,0.0,D,0.0,0.0,D,1.61,4.21,5.08,1.64,4.35,5.5,1707.5,1654.1,53.4,3361.7,0.0159,0,6,12,7,9,0.6667,0.8,0.7778,0.6,-1,3,0,5,-5,30,30,0,0,0,0,0,0,0,0,1,3,8,0,2,16,0.8,10,2.6,2.0,0.7,1.8,1.6,1.4,0.8,1.0555,0.0827,0.0186,0.0827,0.082,14.1,9.4,12.1,12.7,4.7,-0.6,2.7,0.3,0,1,0
E0,2025-08-17,16:30:00,Man United,Arsenal,0.0,1.0,A,0.0,1.0,A,3.57,3.56,2.01,3.75,3.66,2.1,1561.0,1824.6,-263.6,3385.7,0.0779,1,3,4,7,8,0.3333,0.2667,0.7778,0.5333,-4,-4,2,6,-4,30,30,0,0,0,0,0,0,0,0,1,3,2,6,2,-6,0.4,10,1.1,1.0,1.4,2.0,1.7,0.7,-0.9,1.0585,0.0504,0.0504,0.0448,-0.0176,16.3,9.1,15.6,8.8,7.2,6.8,-0.9,0.9,0,0,1
E0,2025-08-17,14:00:00,Nott'm Forest,Brentford,3.0,1.0,H,3.0,0.0,H,2.15,3.36,3.43,2.2,3.5,3.55,1577.0,1623.9,-46.9,3201.0,0.0147,0,4,5,4,10,0.4444,0.3333,0.4444,0.6667,0,-5,3,-2,5,30,30,0,0,0,0,0,0,0,0,1,3,0,1,0,-2,0.0,1,1.5,1.5,0.9,2.3,2.0,0.6,-0.8,1.0543,0.0417,0.0233,0.035,0.092,11.3,14.9,11.2,15.8,-3.6,-4.6,-0.8,0.5,1,0,0
E0,2025-08-18,20:00:00,Leeds,Everton,1.0,0.0,H,0.0,0.0,D,2.39,3.29,2.96,2.5,3.5,3.05,1441.7,1606.1,-164.3,3047.8,0.0539,0,1,1,9,10,0.1111,0.0667,1.0,0.6667,-8,-9,1,8,-7,30,30,0,0,0,0,0,0,0,0,1,3,1,6,3,-11,0.0,10,1.0,1.1,2.3,1.7,1.0,0.7,-0.7,1.0602,0.0638,0.046,0.0304,-0.0272,12.7,14.7,9.6,12.6,-2.0,-3.0,1.2,0.4,1,0,0
