Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
SC3,2025-08-02,15:00:00,Annan Athletic,Elgin,3.0,2.0,H,0.0,1.0,A,2.59,3.29,2.4,2.65,3.5,2.5,1500.8,1478.1,22.8,2978.9,0.0076,0,1,7,6,6,0.1111,0.4667,0.6667,0.4,-5,1,-5,6,-11,30,30,0,0,0,0,0,0,0,0,1,1,5,4,1,1,0.6,10,1.8,2.2,0.9,0.8,0.5,1.3,1.0,1.1067,0.0638,0.0232,0.0417,0.2816,10.4,6.6,9.7,9.7,3.8,0.0,1.1,0.3,1,0,0
SC3,2025-08-02,15:00:00,Dumbarton,Clyde,2.0,1.0,H,2.0,1.0,H,2.31,3.42,2.61,2.38,3.7,2.7,1527.1,1493.4,33.7,3020.4,0.0112,0,2,8,6,7,0.2222,0.5333,0.6667,0.4667,-4,1,-4,5,-9,30,30,0,0,0,0,0,0,0,0,1,1,2,1,1,3,0.5,4,1.7,1.5,1.1,1.1,1.2,1.6,0.6,1.1084,0.0819,0.0303,0.0345,0.2544,10.3,7.4,10.6,7.3,2.9,3.3,-1.8,-1.1,1,0,0
SC3,2025-08-02,15:00:00,East Kilbride,Spartans,1.0,3.0,A,1.0,3.0,A,1.67,3.71,4.2,1.73,3.9,4.4,1500.0,1511.5,-11.5,3011.5,0.0038,0,3,5,6,9,0.3333,0.3333,0.6667,0.6,-3,-4,1,3,-2,7,30,-23,-2,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,1.5,1.3,1.1,1.3,1.4,1.7,0.2,1.1064,0.0512,0.0359,0.0476,0.0422,8.98,8.98,6.9,9.5,0.0,-2.6,1.48,-0.13,0,0,1
SC3,2025-08-02,15:00:00,Edinburgh City,Stirling,1.0,2.0,A,0.0,2.0,A,2.11,3.33,3.02,2.16,3.55,3.2,1501.4,1486.7,14.6,2988.1,0.0049,0,1,7,1,7,0.1111,0.4667,0.1111,0.4667,0,0,-5,-5,0,30,30,0,0,0,0,0,0,0,0,1,1,5,4,1,-1,0.4,10,1.9,2.2,1.2,0.7,1.0,1.7,1.2,1.1054,0.0661,0.0237,0.0596,0.1907,10.0,8.9,6.4,12.7,1.1,-6.3,-1.3,-1.1,0,0,1
SC3,2025-08-02,15:00:00,Forfar,Stranraer,1.0,0.0,H,1.0,0.0,H,1.59,3.56,5.1,1.63,3.8,5.5,1438.4,1419.9,18.5,2858.2,0.0065,0,2,6,3,3,0.2222,0.4,0.3333,0.2,-1,3,-2,3,-5,30,30,0,0,0,0,0,0,0,0,1,1,6,1,3,7,0.6,10,0.7,0.4,1.0,1.0,0.9,1.5,-0.3,1.1059,0.0784,0.0252,0.0784,0.056,8.7,4.9,7.3,9.8,3.8,-2.5,0.1,-0.0,1,0,0
SC3,2025-08-09,15:00:00,Clyde,Forfar,0.0,0.0,D,0.0,0.0,D,2.34,3.07,2.82,2.41,3.15,3.0,1486.1,1446.1,40.0,2932.2,0.0136,0,6,7,5,6,0.6667,0.4667,0.5556,0.4,1,1,5,4,1,7,7,0,0,1,1,0,0,0,0,1,2,2,3,5,-3,0.2,10,1.7,1.7,0.9,1.5,1.0,1.0,0.2,1.1077,0.0638,0.0299,0.0638,0.2674,11.4,7.3,10.3,4.6,4.1,5.7,1.4,0.4,0,1,0
SC3,2025-08-09,15:00:00,Elgin,East Kilbride,0.0,1.0,A,0.0,0.0,D,3.27,3.59,1.92,3.6,3.75,1.99,1470.5,1483.7,-13.3,2954.2,0.0045,0,3,6,0,0,0.3333,0.4,0.0,0.0,3,6,0,0,0,7,7,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0.5,0,1.8,1.6,0.7,1.0,1.0,1.4,0.8,1.1052,0.1009,0.1009,0.0365,0.3042,10.4,9.1,7.0,10.0,1.3,-3.0,-0.1,-1.2,0,0,1
SC3,2025-08-09,15:00:00,Spartans,Dumbarton,1.0,2.0,A,0.0,2.0,A,1.93,3.32,3.46,1.98,3.45,3.65,1527.7,1534.4,-6.6,3062.1,0.0022,0,6,9,4,8,0.6667,0.6,0.4444,0.5333,2,1,3,0,3,7,7,0,0,1,1,0,0,0,0,1,2,1,1,2,-2,0.5,4,2.2,1.6,0.8,1.1,1.3,1.6,1.1,1.1084,0.0549,0.0259,0.0549,0.1227,7.0,9.5,9.5,7.0,-2.5,2.5,-2.7,1.3,0,0,1
SC3,2025-08-09,15:00:00,Stirling,Annan Athletic,0.0,0.0,D,0.0,0.0,D,2.12,3.3,3.02,2.17,3.5,3.1,1498.9,1508.4,-9.5,3007.3,0.0032,0,4,7,4,7,0.4444,0.4667,0.4444,0.4667,0,0,1,1,0,7,7,0,0,1,1,0,0,0,0,1,2,4,4,2,-3,0.4,10,1.9,1.9,1.4,1.4,1.4,1.3,0.5,1.1059,0.0606,0.0236,0.0265,0.1596,6.2,12.9,10.4,6.3,-6.7,4.1,-0.9,0.8,0,1,0
SC3,2025-08-09,15:00:00,Stranraer,Edinburgh City,1.0,2.0,A,0.0,0.0,D,2.7,3.21,2.34,2.8,3.35,2.42,1412.1,1489.2,-77.0,2901.3,0.0266,0,0,3,1,4,0.0,0.2,0.1111,0.2667,-1,-1,-3,-2,-1,7,7,0,0,1,1,0,0,0,0,1,2,5,4,1,0,0.3333333333333333,10,1.3,1.0,0.8,1.2,0.9,1.5,0.1,1.1092,0.0436,0.037,0.0342,0.156,7.0,11.4,10.1,9.3,-4.4,0.8,1.5,0.1,0,0,1
SC3,2025-08-16,15:00:00,Edinburgh City,Annan Athletic,2.0,2.0,D,0.0,2.0,A,2.37,3.22,2.62,2.47,3.4,2.75,1498.7,1509.9,-11.2,3008.6,0.0037,0,3,4,4,5,0.3333,0.2667,0.4444,0.3333,-1,-1,2,3,-1,7,7,0,0,2,2,0,0,0,0,1,3,6,3,1,12,0.6,10,1.6,2.1,1.4,1.4,1.3,1.2,0.2,1.1142,0.0559,0.0422,0.0496,0.2051,9.6,8.6,9.9,6.6,1.0,3.3,-2.1,-0.3,0,1,0
SC3,2025-08-16,15:00:00,East Kilbride,Stranraer,3.0,1.0,H,1.0,0.0,H,1.32,4.58,7.48,1.36,4.9,8.5,1495.1,1402.6,92.5,2897.7,0.0319,0,3,3,0,3,0.3333,0.2,0.0,0.2,3,0,3,-3,6,7,7,0,0,2,2,0,0,0,0,1,3,0,0,0,0,0.5,0,0.0,1.0,3.0,0.9,0.8,1.5,-0.9,1.1096,0.1364,0.0303,0.1364,0.0355,7.0,9.5,6.6,11.0,-2.5,-4.4,3.1,0.7,1,0,0
SC3,2025-08-16,15:00:00,Forfar,Stirling,4.0,2.0,H,2.0,1.0,H,1.77,3.28,4.11,1.82,3.45,4.33,1449.0,1497.5,-48.5,2946.4,0.0165,0,5,6,5,5,0.5556,0.4,0.5556,0.3333,0,1,4,5,-1,7,7,0,0,2,2,0,0,0,0,1,3,0,6,4,-10,0.0,10,0.9,0.3,0.8,0.9,1.0,1.6,0.0,1.1132,0.0535,0.0282,0.0535,0.0234,9.0,5.6,6.5,12.8,3.4,-6.3,0.5,-1.2,1,0,0
SC3,2025-08-16,15:00:00,Clyde,Spartans,1.0,3.0,A,1.0,2.0,A,2.24,3.31,2.74,2.31,3.5,2.88,1483.2,1516.2,-32.9,2999.4,0.011,0,4,7,6,9,0.4444,0.4667,0.6667,0.6,-2,-2,1,3,-2,7,7,0,0,2,2,0,0,0,0,1,3,0,4,4,-6,0.0,8,1.5,1.5,0.9,1.5,1.5,1.6,0.0,1.1135,0.0574,0.0312,0.0511,0.1522,11.7,6.6,7.5,8.9,5.1,-1.4,3.8,-0.2,0,0,1
SC3,2025-08-16,15:00:00,Dumbarton,Elgin,1.0,1.0,D,0.0,1.0,A,1.78,3.43,3.83,1.82,3.7,4.1,1545.9,1459.1,86.8,3005.0,0.0289,0,6,8,0,6,0.6667,0.5333,0.0,0.4,6,2,4,-6,10,7,7,0,0,2,2,0,0,0,0,1,3,6,3,1,11,0.6,10,1.9,1.3,0.8,0.8,0.7,1.5,1.1,1.1144,0.0787,0.0225,0.0705,0.2074,9.5,7.0,10.0,9.5,2.5,0.5,1.5,-0.6,0,1,0
SC3,2025-08-23,15:00:00,Stranraer,Clyde,1.0,1.0,D,1.0,1.0,D,3.51,3.19,1.95,3.8,3.4,2.04,1394.3,1467.9,-73.7,2862.2,0.0257,0,0,0,1,7,0.0,0.0,0.1111,0.4667,-1,-7,0,-5,5,7,7,0,0,2,2,0,0,0,0,1,4,3,5,2,-2,0.6,10,1.3,1.1,0.8,1.0,1.2,1.7,0.3,1.1112,0.0826,0.0826,0.0462,0.2383,6.5,11.6,11.9,6.4,-5.1,5.5,-3.0,-0.2,0,1,0
SC3,2025-08-23,15:00:00,Stirling,East Kilbride,2.0,3.0,A,1.0,3.0,A,4.9,3.93,1.54,5.5,4.2,1.95,1483.8,1503.5,-19.7,2987.2,0.0066,0,4,5,6,6,0.4444,0.3333,0.6667,0.4,-2,-1,3,6,-3,7,7,0,0,2,2,0,0,0,0,1,4,0,0,0,0,0.5,0,1.9,1.8,1.3,3.0,1.0,0.0,-1.1,1.1079,0.2662,0.1224,0.2662,0.3877,6.9,12.8,9.67,8.33,-5.9,1.33,-3.07,-0.23,0,0,1
SC3,2025-08-23,15:00:00,Annan Athletic,Dumbarton,3.0,4.0,A,0.0,2.0,A,2.33,3.26,2.66,2.42,3.4,2.75,1511.2,1541.9,-30.7,3053.2,0.0101,0,5,6,7,8,0.5556,0.4,0.7778,0.5333,-2,-2,4,6,-2,7,7,0,0,2,2,0,0,0,0,1,4,3,5,0,-6,0.5,8,2.1,2.5,0.9,1.3,1.4,1.6,0.8,1.1119,0.0429,0.0386,0.0338,0.1703,9.9,8.0,8.2,7.8,1.9,0.4,-1.1,0.7,0,0,1
